はぁ……はぁ……ん、くっ……す、少しは……んっ……女性を気遣って……はぁ、はぁ……その、もっと、んっ……濡れて、からぁ……	哈……哈……嗯，呃……稍微……嗯……担心女性……哈、哈……那个、更加、嗯……淋湿了，之后……
んんっ……その……もう少し、触って……うう、おねだりしているわけではありませんが……きもちよく、してください……んんっ……	嗯……那个……再稍微、触摸一下……唔，我并不是在要求什么……请心情舒畅……嗯……
はぁ、はぁ……せっくす……していますっ……ご主人様と……んっ……くううっ……恥ずかし過ぎて……はぁ、はぁんっ……	哈、哈……好不容易……正在做……和主人……嗯……呜呜……太害羞了……哈、哈……
はぁ、その、えっと、ですね……わ、私の顔をそんなに……ぁんっ……見ないでくださいっ……恥ずかしいですからぁ……	啊，那个，那个……哇，我的脸……嗯……请不要看……因为害羞啊……
はぁ、はぁあっ……んっ、い、やっ……その、た、垂れてきていますっ……くぅんっ……アソコから……えっちなの、がっ……はぁ……	哈、哈……哎、哎、哎……那个，垂下来了……唔唔……从那里……诶，诶……哈……
んぁっ……！　はぁ、い、いやっ……声、その……勝手に出て……いけないこと、ですのにっ、わたし、わたしっ……！！	嗯……！哎、哎、哎呀……声音、那个……随便出去……不该做的事，明明是我，我……！！
こんな、淫らな事……はぁ、はぅっ、ご、ご主人様とメイドで、んっ！　んぅっ……！　せっくすしてぇ、んっ、んん、いけないことですっ……！	这样淫乱的事情……哈、哈、喂、和主人是女仆、恩！嗯……！好不容易，嗯，恩，是不行的事……！
ひっ、ああ、ああああっ……！　ご、ご主人様っ、その、激しいですからぁ、んや、やぁああんっ！　えっちな音がぁ、はう、はううっ！	哎、啊啊、啊啊啊……！喂，主人，那个，太激烈了，哎呀，哎呀！哼，哼，哼！
はぁ、はひっ、やぁあっ、あの、うううっ！　ご主人様、はげしっ……！　んく、ひぃっ！　ひぃいいんっ！　いやぁ、はずかしくて、んんっ！　んん～～っ！	啊，哈哈，哎呀，那个，呜呜！主人，好厉害……！哼，嘿！嘿嘿！哎呀，很害羞，嗯！嗯~~~！
はぁ、あああっ、イきそうにぃ、ああ、いや、いやぁっ、そんなっ……！　イク時の顔、ああ、あうっ！　見られるのぉ、いやぁあっ！	啊啊，啊啊，好帅啊，啊啊，不，哎呀，那样的……！临场时的脸，啊，啊啊！能看见哦，哎呀！
んっ、んんんっ！　だ、めっ……！　はぁ、あの、そのっ、なかにはっ、あううっ！　赤ちゃん、できちゃうからぁ、はう、だめぇっ！	哼，哼！是、め……！啊，那个，那个，里面，啊呜！小宝宝，会啊，哈，不行！
んっ、んんっ……気持ちいい……です……その……ですから、顔はあまり……み、見ないで頂けると……はううっ……感じている顔は……んんっ……	哼、哼……心情舒畅……是……那个……因此，脸不太……不，不看的话……呜呜……感觉到的脸是……嗯……
はぁ、はうっ……その、ご主人様は……気持ち良い……ですか……？　んっ……そ、それなら、私は……んぁんっ……くぅんっ……	哈、哈……那位主人……好舒服……是……？嗯……那么，这样的话，我……嗯……唔唔……
はぁ……はううっ……少しだけ、もどかしいですね……そ、そのっ……メイドとして、遠慮されるのは……そのぉ……んんんっ……	哈……呜呜……稍微，有点让人着急呢……那、那个……作为女仆，被拒绝的是……哦……嗯……
はぁ、はぁ、んっ、あうっ、ご、ご主人様、そこっ……お、奥っ……ぁああっ！　はぁ、あまりされると、私、私はぁ、んんんっ！！	啊、哈、嗯、啊啊、对、主人、那里……哦，深奥……啊啊啊啊！哈，太过分的话，我，我，哼！！
はぁ、はぁ、ご、ご主人様の、意地悪っ……！　はぁ、はぁ、私のエッチな顔、ずっと見てぇ、んっ！　あう、はぁ、やぁあんっ！	哈、哈、对、主人的、坏心眼……！哈，哈，我的色情的脸，一直看着，嗯！啊呜、哈、啊啊啊！
はぁ、はぁ、はやく、イってぇ、んっ！　このままじゃ、私だけっ……！　ああ、ご主人様、そんなの、恥ずかしいですぅ、んんっ！	哈、哈、快点、嘿、哼！就这样，只有我……！啊啊，主人，那样的，害羞的，嗯！
はぁ、はぁっ！　ご主人様、ご主人様っ！　すきぃ、んっ！　もっとして、いいですよ、んっ！　い、いえ、もっと、してぇっ！	哈、哈！主人，主人！喜欢，嗯！更加做，好哟，n！不、不、更、更！
んっ、んんっ！　だして、くださいっ！　好き、好きっ……！　出されるの、んっ！　好きなんです、ご主人様、ご主人様ぁっ！	哼、哼！请说出来！喜欢、喜欢……！被拿出来，哼！喜欢，主人，主人！
