ん、しょ……こ、こんな感じ……でしょうか……？　あ、ああっ……こんなっ……むねで、する……なんて……んんっ……！	嗯，对吧……这、这样的感觉……是吗……？啊，啊……这样的……在胸部做……怎么……嗯……！
胸にご主人様の熱いのが擦れて……はぁ、男の人……こ、こんな事で……興奮……？　はぁ、んんん～～っ……！	主人的热诚摩擦在胸口……哈，男人……这、这样的事……兴奋……？哈、嗯～～嗯……！
ひゃっ……！？　ご主人様の……太くて……私の胸で興奮しているんですか……？　うぅ、そんな、そんな事って……はううっ……！	哎呀……！？主人……太胖了……在我的胸中兴奋吗……？嗯，那种事……呜呜……！
ご主人様が胸でしてほしいと言うなら……んんっ……でも、その……は、恥ずかしいのですよ、ご主人様っ、あううっ……！	如果主人说想要的话……嗯……但是，那个……真是不好意思啊，主人啊，啊……！
こんな、感じで……合ってますか……？　ご主人様、ちゃんと言ってくれないとわからないですっ……気持ちよく、出来てますか？	这样的感觉……对吗……？主人，不好好说的话是不会明白的……心情好吗？
ご主人様のが私の胸でびくびく暴れてっ……んっ、大丈夫ですっ……このまま出してくださいっ……私がご主人様を……気持ちよくさせますからっ……！	主人的在我的心中战战兢兢地胡闹……嗯，没关系的……请就这样拿出来吧……我把主人……我会让你心情舒畅的……！
はぁっ……ご主人様のもう……こんなに熱くなってるんですね……？　私の胸、そんなに好きなんでしょうか……？　もっとご奉仕、頑張りますねっ……	哈……主人的已经……变得这么热呢……？我的心，是那么喜欢吗……？为了更好的服务，我会努力的……
ご主人様の……私の胸に広がってとろとろしています……もう出ちゃいそうですか？　我慢しないで、いつでも出してくださいっ……！	主人的……在我的心中蔓延着粘稠的……快出来了吗？请不要忍耐，随时拿出来吧……！
私の胸をいっぱい使って、ご主人様を気持ちよくさせてあげますね……？　ご主人様はそのままで、気持ちよくなることだけ、考えていてください……	我会用我的心，让主人心情舒畅吧……？主人就这样，请只考虑让心情变好的事情……
んっ、ふぁっ……いつでも、いいですからねっ……？　我慢しないで、出したいときに、イっちゃってくださいっ……私の、胸の中でっ……！	哼、哼……什么时候都可以吧……？不要忍耐，想拿出去的时候，请把它弄掉……在我的胸中……！
ご主人様が満足するまで、何度でも出していいですからね？　大好きなご主人様を私の胸でイかせてあげたいんですっ……♪	在主人满意之前，可以多次拿出来吗？我想让我最喜欢的主人在我的心中跳动……♪
いつでも、いいですよっ……ご主人様の一番気持ちのいいタイミングで、私の胸でいっぱい精液出してくださいっ……受け止めてあげますからぁっ……！	随时都可以哦……在主人最舒服的时候，请把精液装满我的心……我会接受的……！
ん、ふっ……ご主人様のこんなに硬くなってるんですね……んっ、胸の中で、熱くなって、カチカチでぇ……はぁ、あっ、気持ちいいですかぁ……？	嗯，哼……主人您这么硬啊……嗯，在心中变热了，咔嚓咔嚓……哈，啊，好舒服啊……？
はぁ、あっ……もっといっぱい、私の胸感じてくださいっ、ご主人様ぁっ……ん、はぁ、はっ……ご主人様ので火傷しそうなくらい熱くてぇ……	啊，啊……请再多感受一下我的心，主人啊……嗯、哈、哈……主人好烫，几乎要烫伤了……
ご主人様ぁっ、いっぱいぬるぬる出てきてっ、ひゃっん！　胸っ、はぁ、滑っちゃうっ、んんっ！　もっといっぱい出して、気持ちよくなってくださいっ！	主人啊，来了很多温水，喵！胸口，啊，滑了，嗯！请拿出更多，心情变好！
ん、はっ……胸、気持ちよさそうですね……？　さっきからおちんちんびくびくしてて……んぅっ、もっとしてあげたくなっちゃいます……	嗯，哈……胸，看起来很舒服呢……？从刚才开始就提心吊胆的……嗯，变得更想为你做……
んぅ、ご主人様っ、私の胸でいっぱい射精してくださいっ！　ご主人様の精液、顔でも胸でも好きなとこにかけていいですからっ、はぁ、あっ！	嗯，主人，请用我的胸膛射精吧！主人的精液，无论是脸还是胸，都可以洒在自己喜欢的地方，啊，啊！
