お尻だからって、んぐっ、ぁっ、ひううぅううう！	因为是屁股，嗯嗯，呜呜呜呜呜！
っんふ、はぁふ……！　ご主人様……精液、出しすぎだ……っんんぅ……入りきらなくて、溢れてくるのまで、わかってしまう……	哼哼、哈哈……！主人……精液放得太多了……嗯……进不去，直到溢出来为止，我才明白……
お尻に、出してっ、ひぐっ、んぅあぁああああ！	把屁股拿出来，掀，嗯啊啊啊啊啊！
んぁ、っはあ……ご主人様の精液、こんなに濃いのか……？　っくぅ、ふう……お尻の中に絡み付いて、取れなくなってしまいそうだな……	嗯，啊……主人的精液，是这么浓吗……？唔，呼……缠在屁股里，好像拿不到了……
そんな、奥まで、っんひぅうううう！	那种，连里头也，呜呜呜呜呜！
っぅく、んふああ……ご主人様の精液、濃くて、量も多くて……ふぅ、はぁ……お尻なのに、孕んでしまいそうだ……	唔，哼哼啊……主人的精液很浓，量也很多……呼、哈……明明是屁股，却好像要孕育了……
いくらでも、お尻にっ、んふぁあぁああう！	不管多少，屁股上，哼哼啊啊啊啊啊啊啊啊啊！
っくぅ、ふぅああ……！　ご主人様の精液、熱くて、どろどろして……私のお尻の中、どこを流れてるか、よくわかるな……	哼、哼啊啊……！主人的精液，又热又粘……我的屁股里面，流向哪里，不太清楚……
熱いの、奥までぇっ、んあっ、ひぐぅううぅう！	好烫，到里面去，嗯，呜呜呜呜呜！
ん、っふぅ、あぁふ……！　お腹の中まで、逆流してきそうだ……もっと、たくさん注がれたら……本当にそうなってしまうかも、な……？	哼、哼、啊哼……！肚子里好像要倒流了……如果能注入更多……真的会变成那样，呐……？
ぉぐっ、流れてくるぅっ、んんぅぐうううう！	呜呜，流过来了，呜呜呜呜呜！
んふ、っはぁ、ぅうふ……ご主人様の精液、熱くて、身体中に染み込んでくるみたいで……病み付きになってしまう……	哼哼，哈，哼哼……主人的精液，热得好像渗入到身体里一样……入迷了……
精液っ、精液ぃっ、ひぐっ、んぉぐうぅうう！	精液，精液！
っぉぐ、んんふ……ご主人様、もっと、精液欲しい……注がれれば、注がれるほど、もっと欲しくなってしまうんだ……	哇，哼哼……主人，想要更多的精液……注入的话，越注入越想要……
