え、えっと……あたし、こうしてするだけじゃダメなんですか……？　ご主人様ぁ……	嗯，那个……我只是这样不行吗……？主人啊……
オモチャで、気持ち良くしますから、うぅ……そ、その、罵ったりとか……そういうのは許してほしいですっ……	因为是玩具，心情很好，嗯……那个，那个，骂什么的……我希望你能原谅我这样做……
こ、これでいいですか……？　んしょ、んしょっ……ご主人様のおっきいですから、うぅ～～っ……	这、这样可以吗……？嗯，嗯……因为是主人的大哥哥，所以……
うぅ、あぁ……恥ずかしいですから、こうしてご奉仕するのっ……あ、あんまり見ないで下さいね、ご主人様ぁ……	呜、啊……因为不好意思，所以才这样服务……啊，请不要看太多啊，主人……
こ、こうしながら、あたしに罵られたりすると、興奮……しちゃうんですか？　それじゃ、うぅ……まるで変態です……	这个，这样的话，被我骂的话，会很兴奋……要做吗？那么，嗯……简直就是变态……
んしょ、んっ、ご主人様ぁっ……！　中でヒクヒク震えてぇ、はぅ～～っ……！	嗯，嗯，主人啊……！在里面瑟瑟发抖，哈哈……！
こ、これだけ激しくしてれば、んんぅ……！　酷い事言ったりしないでも大丈夫ですよね、ご主人様っ……？	这、这么激烈的话、嗯……！不说过分的话也没关系吧，主人……？
うぅ、もしかして物足りないんですかっ？　あたしに、そのっ……悪口言われないと、もっと気持ち良くなれないんですかっ……？	嗯，难道说不够吗？对我来说，那个……不被说坏话的话，心情就更不好了……？
んしょ、んんっ、こ、このまま出してしまえば、そのっ、充分ですよね、ご主人様っ？　はぁはぁっ……！	嗯，嗯，这个，就这样拿出去的话，那个，已经足够了吧，主人？哈哈……！
うぅ～～っ、これで許して下さい、お願いですからぁ！　ちゃんと、責任を持って最後までご奉仕しますから、んっ、ご主人様ぁ！	嗯～～请原谅我，拜托了！我会负起责任为您服务到最后的，嗯，主人！
あ、あたしにお仕置きなんて、うぅ、無理です、無理です、ご主人様っ！　頑張りますから、これでイって下さい、んんぅ！	啊，要惩罚我，嗯，不行，不行，主人！我会努力的，请这样做吧，嗯！
いっぱい苛めちゃいますね、早漏ご主人様ぁ……オナホールで、シコシコしてぇ、えへへっ……	真是让人受不了啊，早漏先生……在自慰大厅里，好好嚼啊，嘿嘿……
んしょ、んぅ……ご主人様の短小、生意気にこんなに硬くしてぇ……あたしにお仕置きされて、興奮しちゃってるんですねっ	嗯，嗯……主人的小个子，傲慢得这么硬……被我惩罚了，很兴奋呢
ご主人様みたいな惨めなマゾ豚にはぁ、えへへっ……オナホールで充分ですよね、ほらほらぁ……♪	变成像主人一样悲惨的恶猪啊，嘿嘿……自慰洞就足够了吧，你看……♪
あれぇ、感じちゃってるんですか、早漏ご主人様っ？　んんぅ……オナホ妊娠させちゃいますか、このみっともない家畜はっ……！	咦，感觉到了吗，早漏先生？嗯……会不会让你怀孕呢，这个难看的家畜是……！
んんぅ、乱暴にされてると、余計に興奮しちゃうんですね、えへへっ……！　それなら、もっともっと苛めちゃいますねっ！	嗯，被粗暴对待的话，会更加兴奋吧，诶……！那样的话，会更加更加欺负你的！
あ、勝手にイったらダメですよっ？　あたしが躾けてあげてるんですからぁ……いくらマゾ豚でも、それくらいはわかりますねっ？	啊，不能随便玩哦？因为是我来教育你的……就算是再狡猾的猪，也能明白这一点吧？
えへへ、オナホでシコシコされてこんなに震えてる、えへへっ！　本当に惨めですね、早漏ご主人様っ♪	嘿嘿，在手淫的时候这么颤抖，嘿嘿！真是悲惨啊，早泄主人♪
イカせて下さい、お願いですっておねだりできたらぁ、んんぅ、マゾ豚の射精、許可してあげますねっ……んぅ！	请让我做一下，如果可以拜托你的话，嗯，我会允许你射精猪的……嗯！
イキたいですか、汚い精液出したいんですかぁ？　えへへっ、オナホでイカせてあげます、ほらほらぁ、出しちゃってくださいねっ！	想用漂白剂还是肮脏的精液？嗯，嘿嘿，我在自慰馆给你加热，你看，请拿出来吧！
はぅ、んん……な、なんだかあたし、おかしくなっちゃいそうです……オモチャでご主人様苛めて、あぁ……	嗯，嗯……呐，总觉得我好像变得奇怪了……用玩具欺负主人，啊……
こうしてオモチャで、躾けられて……おっきくしてるなんて、変態です……はぁ、んん……あたしは、ただ……仕方なく、苛めてるだけですから……	就这样用玩具来教育我……居然这么大大咧咧的，真是变态……嗯，嗯……我只是……没办法，我只是在欺负你……
そ、その、あたしはご主人様を苛めて、興奮してなんてないです……変態の早漏さんには、オモチャで躾ける必要があるから、してるんです……	对，那个，我没有因为欺负主人而兴奋……对于变态的早漏来说，有必要用玩具来教育他，所以才这么做的……
ほ、ほらほら……！　乱暴にされると、感じちゃって……すぐイっちゃうんですよね、こ、このマゾ豚……！　あたしに、苛められて……！	瞧，你看……！被粗暴对待的话，感觉到了……这、这、这头猪……！被我欺负了……！
んしょ、んん！　ご、ご主人様を苛めてると、あぁ……あたし、オモチャを使う手が止まらなくなっちゃいます、んん……！	嗯，嗯！啊，欺负主人的话，啊……我用玩具的手停不下来了，嗯……！
な、なんですかその顔、イっちゃいそうなんですか……！？　それなら、んん……！　あたしがオモチャで、もっと苛めちゃいます……！	呐，怎么说呢，那张脸看起来很可爱啊……！？那样的话，嗯……！我用玩具，更欺负你……！
イクんですか、イっちゃうんですか、マゾ豚ご主人様……！　いいです、このオモチャで、ほら……無様にイク所見せて、えへへ……！	是生是死，是生是死，是猪主人……！好的，用这个玩具，看……让我看看死角，嘿嘿……！
ゆっくりじゃ満足できませんか、このマゾ豚は、えへへ……短小壊れちゃうくらい、乱暴な方が好みですか……んん……	慢慢来的话不能满足吗，这只猪，嘿嘿……喜欢粗暴到要短、小坏掉的程度吗……嗯……
んしょ、んん……気持ち悪い顔して、ヒクヒク震えられちゃうと……！　オナホで、えへへ……もっともっと短小の躾けしたくなっちゃう……！	嗯，嗯……一副恶心的表情，让人直打寒战……！在自慰，嘿嘿……变得想更短一点的教育……！
ほら、『ありがとうございます』って、ちゃんと感謝して下さいね……！　じゃないとあたし、マゾ豚の事壊しちゃうかもしれません……！	看吧，请好好感谢我说“谢谢”……！如果不这样的话，我可能会把小猪弄坏……！
