ん、くぅっ……あぅっ……ご主人様……こ、こんな格好で……するなんて……わ、私……許せません……んっぅ、や、やめて、くださいっ……	嗯，唔……啊……主人……这、这样的打扮……竟然……我、我……不能原谅……嗯，不，请住手……
や、やだっ……動かないでください……んっぅ！　……ご主人様が動くと……はぁ……そんな、自分勝手にっ……	呀，讨厌……请不要动……嗯！……主人一行动……哈……那样的，擅自……
んんぅ、本当に、このまま続けるんですか……？　あんまり激しくはしないでください……んぐっ……いや、なんですからぁ……	嗯，真的，就这样继续吗……？请不要太激烈……哼哼……不，那是因为……
やっ、やっぱり、痛くて、苦しいです、これっ……はぁっ……わ、私が苦しんでるのに……はぁ、はぁ、ありえない……夜伽です……！	啊，果然，又痛又痛苦，这个……哈……哇，我明明很痛苦……哈、哈、不可能……我是夜伽……！
んぅ、くぅっ……はぁっ……こんな格好の私をじろじろ見ないでください……恥ずかしくて、死んじゃいそうですっ……うぅぅ……	嗯，唔……哈……请不要盯着这样打扮的我看……因为害羞，好像快死了……嗯……
ご主人様っ……そ、そんな、そこばっかり擦らないで、くださいっ……んんっぅ、べ、別に、なんでもないですからぁっ……！	主人……那、那种、不要老是擦那里、请给我……嗯，呃，没什么，没什么。
ん、んぅ……ご、ご主人様、もう、いいですよねっ……？　す、少し休ませてくださいっ……こんな強引なの……あ、ありえないっ……！	嗯，嗯……主人，已经可以了吧……？那么，请让我稍微休息一下……这样强行的……啊，不可能啊……！
んぅ、はうぅ、んっ……！　ご主人様ぁ……こんな格好でぇ、私っ……はうっ……んん、そ、そんな動いたらダメですってばぁっ……！	嗯，嗯，嗯……！主人啊……这样的打扮啊，我……哈……嗯，那个，那样的动作不行啊……！
ご主人様ぁっ！　んっぅ、こんな風にされてるのにいっ……気持ち、よく、なってきちゃってぇ……はぁ、あっ……んぅ！	主人啊！嗯，明明是这样的……心情变好了……啊，啊……嗯！
ふぁっ……や、だめ、だめっ……こ、このままじゃ、私っ……！　んぅぅっ！　も、もうっ……ダメぇぇ！　あっ、イちゃ、うぅんっ！	啊啊……不，不行，不行……这、这样的话、我……！嗯！也、已经……不行啊！啊，小i，嗯！
はぁあっ……ご、ご主人様っ……！　ああっ、こんなっ、ひぐっ、ひううっ……！　ちょっと、待って、んんっ！　出さないでぇ、あああっ！	啊啊……哦，主人……！啊，这样啊，一下子，一下子……！等一下，嗯！不要拿出来啊，啊啊！
