イベントをスキップする	跳过事件
イベントをスキップしない	不跳过事件
はい	是的
いいえ	不
マフィア映画	黑手党电影
アクション映画	动作片
ホラー映画	恐怖电影
復讐もの	复仇者
ラブコメもの	爱情喜剧
デスゲームもの	游戏版本
誰かのために頑張れるところ	为了谁而努力的地方
色々な物を大切にするところ	珍惜各种东西的地方
働き者なところ	能干的地方
応援団	拉拉队
九州男児	九州男儿
昔ながらの不良	老毛病
なんだかジメジメしてますね	总觉得有点难为情呢
ちょっと寂しいです	有点寂寞
もう少し、傍に居たいです	我想再呆一会儿
ちょっとお洒落なテーブル	有点时髦的桌子
お洒落なベッド	时髦的床
お洒落なタンス	时尚的衣橱
狭いくらいの小さい家	窄小的房子
賑やかな場所にある家	在热闹的地方的房子
広々とした家	宽敞的房子
キリッとした雰囲気	清新的气氛
大人な落ち着いた雰囲気	成熟稳重的气氛
明るい学生みたいな雰囲気	开朗的学生般的气氛
温泉旅行でまったり	享受温泉旅行
テーマパークで大騒ぎしたい	想在主题公园大吵大闹
海外で知らない場所を見てみたい	想看看在国外不知道的地方
保母さんに向いてると思うよ	我觉得适合做保母
介護に向いてるんじゃないかな	适合看护吧
いいお母さんになれると思うよ	我想我会成为好妈妈的
二人で一緒に料理をする	两个人一起做饭
娘さんをくださいって挨拶をする	请给女儿打招呼
映画のワンシーンを再現	再现电影的一个场景
一緒に頑張ろうか！	一起加油吧！
なら、いっぱい頼るしかないな	那就只能依靠你了
頑張りすぎないようにね？	不要太努力了吧？
セレクトショップ	自选商店
ジュエリーショップ	珠宝店
服飾洋品店	服饰服饰商店
[HF]に見限られたら泣いちゃうなぁ	如果被[HF]看漏了的话会哭的啊
わからないけど大切な人の死に目	虽然不知道，但是在重要的人死去的时候
大事なコレクションが捨てられたら泣く	如果重要的收藏被扔掉了会哭的
えへへ、実はそうなんだ	嗯，其实是这样
そんな意図はなかったんだけど……	虽然没有那样的意图……
お仕置きになんて屈しない	决不屈服于惩罚
いつも[HF]のことを考えているよ	我总是在想[HF]的事情
大体は仕事のことを考えてると思う	我想大概是在考虑工作
好きなマンガやアニメのことを考えてるね	在考虑喜欢的漫画和动画呢
一日ご主人様になってもらう	请做一天的主人
何を不満に思ってるのか聞くと思う	我想问一下你对什么不满
いいＳＭクラブを紹介するよ	我来介绍一个好的SM俱乐部
身体中が熱くなるようなキス	让身体发热的吻
軽く唇が触れ合うような軽いキス	轻吻嘴唇
おしりにキスして欲しい	希望你吻我的屁股
二人のルールを作る	制定两个人的规则
お揃いの物を買う	买一样的东西
お互いの秘密を共有する	分享彼此的秘密
リラックスしようかな	放松一下吧
ヨガのポーズを取る	摆出瑜伽的姿势
全裸になる	赤身裸体
ケーキも注文しよう	蛋糕也点吧
[HF]のことを褒める	表扬[HF]
笑わせる	逗笑
もっと威厳があった方がいいかな？	再威严一点比较好吗？
オーナーらしく振る舞ってみようかな？	试着做一个老板的样子吧？
今のままでいいのかな？	现在这样可以吗？
大量の料理	大量的菜
サンドイッチ	三明治
洋風料理	西式菜
頭を撫でる	摸头
猫に例えて褒めちぎる	拿猫作比喻来称赞
キスで口をふさぐ	用接吻堵嘴
今の[HF]が一番だよ	现在的[HF]是最好的
料理がもっと上手になって欲しいかも	也许想让你的料理做得更好
夜伽が上手になって欲しいかも	也许你想让我的夜晚变得更好
エロ本の傾向が変わったかも	色情书籍的倾向可能改变了
食べ物の好みが[HF]に似てきたかも	食物的喜好也许和[HF]很相似
特にはないかも……	可能没有什么特别的……
ちょっと気になるかも	可能有点在意
あまり気にならないかな	不太在意吗？
むしろ流行を作ってるよ	不如说是在流行
水着とか！	游泳衣什么的！
バニーガールとか！	兔女郎什么的！
宇宙服とか！	宇宙服什么的！
健康グッズ	健康商品
コーヒーメーカー	咖啡机
カメラ	照相机
可愛いぬるメイド	可爱的女仆
カッコいいぬるメイド	帅气的温吞女仆
エロいぬるメイド	好色的女仆
エロメイドちゃん	情色女仆
仕事をしないご主人様くん	不工作的主人
クーデレちゃん	小库德雷
はい<E>Yes	是<E>是
いいえ<E>No	不，不是
パトラちゃんとは初対面だ	和帕特拉是初次见面
パトラちゃんは何度も会っている	帕特拉见了好几次面
……少しだけ興味がある	……有一点兴趣
恋人にそんな事はさせられません	不能让恋人做那种事
目隠しを表示する　（シナリオ変化無し）	显示隐藏（脚本无变化）
目隠しを表示しない（シナリオ変化無し）	不显示隐藏（脚本无变化）
依頼を断る	拒绝委托
依頼を受ける	接受委托
テルミを処分する	处理温泉水
俺は何も出来なかった……	我什么都没能做……
自分で監視カメラを多数設置する	自己安装很多监视照相机
プロのセキュリティ業者に頼む	委托专业的安全公司
メイド達に警戒させる	让女仆们警惕
他のオーナーと連絡を取り合う	和其他老板取得联系
秘密裏に対処する	秘密处理
メイド秘書に相談する	和女仆秘书商量
すぐに義文と決着をつける【NORMAL】	马上和义文了结【NORMAL】
しばらくの間、様子を見る【BAD】	暂时观察情况【BAD】
瑠璃子ちゃんとは初対面だ	和瑠璃子是初次见面
瑠璃子とは何度も会っている	和瑠璃子见过好几次面
２人の全ての気持ちを話す【NORMAL】	说出两个人全部的心情【NORMAL】
もう全ては終わった事だ【BAD】	一切都已经结束了【BAD】
問答無用で勝を殴りつける【NORMAL】	不需要问答就可以打赢【NORMAL】
勝の様子を伺う【BAD】	询问胜利的情况【BAD】
下着を取り払う	拆掉内衣
下着を取り払わない	不脱内衣
それでも全員で協力して問題を解決する	尽管如此，全体人员还是协力解决问题
一人で情報を持っている男とコンタクトを取りにいく	一个人去和有信息的男人取得联系
パラ無垢	帕拉无垢
パラ真面目	一本正经
パラ凜	威风凛凛
やっぱり温泉かなぁ	果然还是温泉啊
美味しいご飯だよね	很好吃的饭呢
風景がよくないと	风景不好的话
小粋なジョークで和ませる	用诙谐逗乐人
変顔をする	变脸
ワインで程よく酔わせる	用葡萄酒使醉得恰到好处
スムージーを注文してあげる	我给你点奶昔
コーヒーを注文してあげる	我给你点咖啡
粘り強く聞いてみる	耐心地听一下
何を考えているのかわからない	不知道在想什么
どすけべご主人様	好色的主人
もう存在が犯罪	已经存在是犯罪
お祝いの料理	喜庆菜肴
家庭的な料理	家常菜
お洒落な料理	时髦的菜
送り迎えならするよ？	我会接送你的
朝まで話を聞いてあげるね	我会听你说到早上的
やらかしても俺がなんとかするよ	就算让我做，我也会想办法的
俺の好きなところ	我喜欢的地方
俺にして欲しいこと	我想要的事情
俺に直してほしいところ	希望我改正的地方
俺が養ってやる！	我来养你！
いまどきはイクメンが流行ってるらしいね	现在好像流行奶爸呢
働いている姿が好きだ	我喜欢劳动的样子
たい焼き	鲷鱼烧
タピオカ	木薯淀粉
ソフトクリーム	软冰淇淋
洋画みたいなカーチェイス	西洋画一样的轮椅
