;GP-02
プライベートモード設定	私人模式设定
ハイテンションメイドと出会っている	已遇到情绪高昂的女仆
性癖「ドMの素質」を取得している	取得「抖Mの潜质」的性癖
『Hot Start!』にて勝利している	取得『Hot Start!』的胜利
ユニーク	独特
純愛・GP02	纯爱・GP02
純愛・文学少女	纯爱・文学少女
純愛・小悪魔	纯爱・小恶魔
NTR・小悪魔	NTR・小恶魔
純愛・ふわふわ妹	纯爱・软妹
NTR・ふわふわ妹	NTR・软妹
純愛・無愛想	纯爱・冷淡
NTR・無愛想	NTR・冷淡
お嬢様	大小姐
純愛・お嬢様	纯爱・大小姐
NTR・お嬢様	NTR・大小姐
純愛・ツンデレ	纯爱・傲娇
NTR・ツンデレ	NTR・傲娇
ポールダンス	钢管舞
【GP-02】ハーレム	【GP-02】后宫
【GP-02】百合
メイド同士で百合夜伽を行います。	女仆之间进行百合侍寝。
【GP-02】スワッピング　拳斗×美希	【GP-02】交换 拳斗×美希
【GP-02】スワッピング　富彦×千里	【GP-02】交换 富彦×千里
【GP-02】スワッピング　千秋×はるの	【GP-02】交换 千秋×春野
【GP-02】寝取らせ	【GP-02】NTRS
ふわふわ妹	软妹
無愛想	冷淡
アリア	艾莉亚
ライラック	紫丁香花
背景
name	名字
ランダム	随机
背景ポイント	背景场所
プライベートメイドを設定しない	不设定私人模式
プライベートメイド設定	设定私人模式
エントランス	入口
自室	自己的房间
執務室	办公室
ロータリー	环形交叉路
バックステージ	后台
レストランキッチン	餐厅厨房
プライベートルーム	私人房间
ステージ	前舞台前
ポール付近	杠杆附近
入口付近	入口附近
階段下	楼梯下方
2F	2楼
チェア	椅子
ソファ	沙发
机の前	书桌之前
ベッド	床
PC前	电脑前
ベンチ	长凳
1F1	楼
噴水	喷泉
玄関	前门
庭	庭院
ステージ	前舞台前
屋外	屋外
テラス席	露天座位
店内	店内
リビング	客厅
キッチン	厨房
ベランダ	阳台
窓際席	靠窗座位
センター席	中心座位
センター	中心
SM器具前	SM道具之前
化粧台	梳妆台
ジャグジー	爵士
手すり付近	扶手附近
ピアノ	钢琴
1F席	1楼座位
2F席	2楼座位
BJ台
ルーレット	台赌盘台
スロット	投币口
照明付近	灯光附近
アンプ付近	音响附近
カウンター	柜台
テーブル席	桌子席位
マイク前	麦克风前
通路	道路
桂剥き	果皮刀
鍋	锅
テーブル	桌子
