;GP-01
メイド長	女仆长
クラス変更	变更称号
ステータス	状态
Hイベント	H事件
ストーリー	剧情
育成中のメイドではない	非育成中女仆
説 明	说明
ライフモード	生活模式
ライフモードに登場するメイドを選択してください	请选择在帝国生活模式登场的女仆
全解除	解除所有
※上記条件はペアになるメイドも同様	以上条件对成队的女仆也是相同
ハーレム夜伽を実行しているメイドである	有能够实行后宫侍寝的女仆
美希達とスワッピング夜伽を実行しているメイドである	有能够和美希他们实行交换的女仆
千里達とスワッピング夜伽を実行しているメイドである	有能够和千里他们实行交换的女仆
はるの達とスワッピング夜伽を実行しているメイドである	有能够和春野他们实行交换的女仆
寝取らせ夜伽を実行しているメイドである	有能够实行NTR侍寝的女仆
育成中のメイドでない	非育成中的女仆
純愛・GP01	纯爱・GP01
NTR・GP01
純愛・GP01夜伽	纯爱・GP01侍寝
NTR・GP01 夜伽	NTR・GP01侍寝
ハーレム	后宫
追加で指定するもう１人のメイドと３人でハーレム夜伽を行います。	追加一名指定的女仆进行三人的后宫侍寝。
説明	说明
スワッピング　拳斗×美希	交换　拳斗×美希
スワッピング　富彦×千里	交换　富彦×千里
スワッピング　千秋×はるの	交换　千秋×春野
寝取らせ	NTR play
メイドと一緒に千秋×はるのカップルを交えてスワッピングを行います。お互いのパートナーを交換します。	与女仆一起和情侣【千秋×春野】进行交叉交换。交换互相的伴侣。
メイドと一緒に富彦×千里カップルを交えてスワッピングを行います。お互いのパートナーを交換します。	与女仆一起和情侣【富彦×千里】进行交叉交换。交换互相的伴侣。
メイドと一緒に拳斗×美希カップルを交えてスワッピングを行います。お互いのパートナーを交換します。	与女仆一起和情侣【拳斗×美希】进行交叉交换。交换互相的伴侣。
メイドをお客様に寝取らせます。寝取らせた後、お客様とどんなプレイを行ったか報告を行わせます。	女仆被客人NTR。NTR之后，女仆对主人进行报告，说明被如何被玩弄。
【夜伽のみ】ハーレム	【仅侍寝】后宫
【夜伽のみ】ハーレム　ヤキモチ	【仅侍寝】后宫 吃醋play
ハーレムのADV演出を省略し、２人で行う夜伽スキルを連続で実行します。夜伽スキルのみ楽しみたいご主人様向けのスケジュールとなります。	省略后宫 play的ADV演出，连续进行二人同时的侍寝技能。面向单纯希望享受侍寝技能的主人而进行的日程安排。
ハーレムのADV演出を省略し、３人で行う夜伽スキルを連続で実行します。夜伽スキルのみ楽しみたいご主人様向けのスケジュールとなります。	省略后宫 play的ADV演出，连续进行三人同时的侍寝技能。面向单纯希望享受侍寝技能的主人而进行的日程安排。
【夜伽のみ】スワッピング　拳斗×美希	【仅侍寝】交换　拳斗×美希
【夜伽のみ】スワッピング　富彦×千里	【仅侍寝】交换　富彦×千里
【夜伽のみ】スワッピング　千秋×はるの	【仅侍寝】交换　千秋×春野
【夜伽のみ】寝取らせ	【仅侍寝】NTR PLAY
【夜伽のみ】寝取らせ報告	【仅侍寝】NTR报告
寝取らせのADV演出を省略し、寝取らせ全ての夜伽スキルを連続で実行します。夜伽スキルのみ楽しみたいご主人様向けのスケジュールとなります。	省略NTR PLAY的ADV演出，连续进行所有NTR的侍寝技能。面向单纯希望享受侍寝技能的主人而进行的日程安排。
スワッピングのADV演出を省略し、対象のカップルとの夜伽スキルを連続で実行します。夜伽スキルのみ楽しみたいご主人様向けのスケジュールとなります。	省略交换 PLAY的ADV演出，和对象的情侣进行连续的侍寝技能。面向单纯希望享受侍寝技能的主人而进行的日程安排。
寝取らせ報告のADV演出を省略し、寝取らせ報告全ての夜伽スキルを連続で実行します。夜伽スキルのみ楽しみたいご主人様向けのスケジュールとなります。	省略NTR 报告的ADV演出，连续进行所有NTR报告的侍寝技能。面向单纯希望享受侍寝技能的主人而进行的日程安排。

GP01チュートリアル	GP01教程
ダンスショー開催告知変更	变更舞会的举行通知
GP01で追加される新機能についてのチュートリアル。GP01インストール後、開始を推奨します。	关于GP01追加的新功能的教程。安装GP01之后，推荐进行开始。
GP01をインストールしている。	已经安装GP01。
項目を選択して下さい。	请选择项目。
エンパイアライフモードの開始方法	帝国生活模式的开始方法
エンパイアライフモードの説明	帝国生活模式的说明
GP01夜伽について	关于GP01的侍寝
チュートリアルを終了する	结束教程
エンパイアライフモードは、エンパイアクラブのオーナーの指示ではなくメイドの判断で普段の業務を行うゲームモードとなります。	帝国生活模式就是在没有帝国俱乐部老板的指令下，根据女仆自己的判断进行日常业务的游戏模式。
「Empire Life Mode」に移行すると、「Usual Mode」でメイド達に指示したスケジュールは実行されません。	切换到「帝国生活模式」之后，「通常模式」下对女仆下达指示的日程表不会被实行。
「Usual Mode」で行えるスケジュールである『夜伽』や『仕事』、『トレーニング』を行いたい場合は、「Empire Life Mode」から「Usual Mode」への切り替えをお願い致します。	想进行「通常模式」下的『侍寝』和『工作』、『训练』的时候，请从「帝国生活模式」切换到「通常模式」。
エンパイアライフモードには、上記のように様々なタイプのイベントが発生します。	帝国生活模式会发生像上述那样各种各样类型的事件。
『特別なストーリーのイベント』	『特別剧情事件』
『特別なストーリーのイベント』はクラブを舞台に、一番最初に雇った『無垢、真面目、凜デレ』を中心に話が展開致します。	『特別剧情事件』是以俱乐部为舞台，以最开始雇佣的『无垢，耿直较真，高冷凌冽』为中心的事件的经过。
CM3D2と互換設定をしている場合は、代表の３名の『ツンデレ、クーデレ、純真』を中心に話が展開するシナリオも同時に発生致します。	在与CM3D2进行联动的情况下，同时也会发生以『傲娇，酷冷，纯真』这三个为代表的事件的经过。
『メイド達の掛け合いイベント』	『女仆们的交流事件』
『メイド達の掛け合いイベント』は、メイド３名のイベント、メイド２名のイベントがあります。	『女仆们的交流事件』存在着以两名/三名女仆一起的事件。
同じ性格のメイドが掛け合いに参加する事はありません。→『無垢×無垢』『無垢×無垢×真面目』	相同性格的女仆不会参加进行互相交流。→『无垢×无垢』『无垢×无垢×耿直较真』
掛け合いイベントは『無垢×文学少女』『文学少女×小悪魔』など、性格の数だけ増加します。	互相交流事件像是『无垢×文学少女』『文学少女×小恶魔』等等，只有增加性格的数量。
メイド２名のイベントは『無垢×真面目①』『無垢×真面目②』といったように２回発生します。	两名女仆的事件，像这样的『无垢×耿直较真①』『无垢×耿直较真②』会发生两次。
『メイドとのエッチなイベント』	『女仆的H事件』
『メイドとのエッチなイベント』は、メイド１人を対象に発生致します。	『女仆的H事件』是以单人女仆为对象的时候才会发生。
条件は『フリー』と『専属』、性経験などがあります。『メイドとのエッチなイベント』を見たい場合は、それらの条件を意識するよう、お願い致します。	发生条件根据『自由』和『专属』、性经验等等。想要查看『女仆的H事件』的时候，请注意它们的发生条件。
GP01より『ハーレム』『スワッピング』『寝取らせ』の３つの新しいタイプの夜伽が追加されました。	从GP01开始，追加了『后宫』『交换』『NTR』三种新类型的侍寝。
こちらは「Usual Mode」となります。「Empire Life Mode」中は発生しませんので、実行する際は、画面下のバナーをクリックするよう、お願い致します。	这里会变成「通常模式」。在「帝国生活模式」的情况下不会发生。在实行的时候，请点击画面下方的图标。
『ハーレム』	『后宫』
『ハーレム』は『それぞれのメイドに何回中出ししたか』が大きな分岐ポイントになります。	『后宫』在『要在各个女仆身体内射多少次 』有着巨大的分歧点。
 右のメイドに何度も射精をしたり、両方のメイドに何度も射精したりすることにより、プレイできる体位やシチュエーションが変化します。	根据在右边的女仆射多少次，在两边的女仆那里射多少次，能够进行的体位和情况会发生变化。
『スワッピング』	『交换』
『スワッピング』も同様に『その行為で何回射精したか』『中出ししたか、外出ししたか』が大きな分岐ポイントになります。	『交换』也是同样的，根据『那个行为射精多少次』『是内射还是外射』等等条件会产生巨大的分歧点。
 また、スワッピングのカップルには、『拳斗×美希』『富彦×千里』『千秋×はるの』の３組のカップルが存在します。	此外，能够进行交换的情侣，存在着『拳斗×美希』『富彦×千里』『千秋×春野』三组人马。
 どのカップルと夜伽をするのかは、「Usual Mode」のスケジュールから選択する事ができます。	无论要和哪一组进行交换侍寝的话，都可以从「通常模式」的日程表里面进行选择。
『寝取らせ』	『NTR』
『寝取らせ』も同様に『その行為で何回射精したか』『中出ししたか、外出ししたか』が大きな分岐ポイントになります。	『NTR』也是同样的，根据『那个行为射精多少次』『是内射还是外射』等等条件会产生巨大的分歧点。
