む、胸を使って、うぅ……ご奉仕だなんて、ご、ご主人様っ……恥ずかしいです……	嗯，用胸，嗯……服务什么的，主人……不好意思……
んんぅ……あんまり、その……見ないで下さいね？　はぅ、ご主人様ぁ……	嗯……太、那个……请不要看哦？哈，主人……
ご主人様の、熱くてぇ……うぅ、胸でご奉仕すると、へ、変な気持ちになっちゃいますぅ……	主人，好烫啊……嗯，在心中服务的话，嘿嘿，心情会变得很奇怪……
む、胸でする度に、ご主人様のが……あぁ、ヒクヒクしてますっ、んぅ、あぁ……	嗯，每次在胸口做的时候，主人的……啊，好刺痛啊，嗯，啊……
はぁはぁ、こうしてると、んんぅ……あたしの胸に、ご主人様の臭いが……はううっ……	哈哈，这样的话，嗯……我的胸口有主人的臭味……呜呜……
んぅ、ご主人様っ……！　ダメです、恥ずかしいです……あ、あんまり見ないで下さい、くぅうんっ……	恩、主人……！不行，好害羞……啊，请不要看太多，嗯……
こ、こんなにおっきくして、ご主人様のへんたい……！　うぅ、なんだかあたしまでドキドキしてきちゃったぁ……	这，这么大，主人的变态……！嗯，总觉得连我也心跳加速了……
んんぅ、あぁ、胸でいっぱいしてると、うぅ、あたしまで頭くらくらしちゃいますっ……！	嗯，啊，满心的话，嗯，连我都头晕了……！
ご、ご主人様の震えて……あぁん！　あたしの胸まで熱くぅ、あっ、はぅうっ……！	哦，主人的颤抖……啊啊！连我的胸口都发烧了，啊，哈哈……！
んぅう、先の方から……へんなの、垂れてぇ、んぅ、ご主人様っ！　イ、イキそうなんですかっ……？　あたしの、むねで……	嗯，从刚才开始……奇怪的，垂下来，嗯，主人！啊，好像很帅啊……？在我的心里……
はぁはぁ、だ、出して下さい、んぅうっ！　あたし、ご主人様にごほうし……胸で最後まで、はぁ、はぁ、がんばりますっ……！	哈、是、请拿出来、嗯！我要送给主人……一直到最后，哈，哈，加油……！
おっぱいで、えへへ……ご主人様の、いっぱい気持ち良くしちゃいますね、んぅっ……	乳房，嘿嘿……主人，心情很好呢，嗯……
