ぅ、んんぐ……は、ぁぁっ……これ……お、終わらせて……ああ、こんな、はしたないこと……	嗯，嗯……啊、啊……这个……结束吧……啊，这么没礼貌的事……
んっは、あ、ぁっ……ひ、んんぐぅっ……悪趣味にです……ご主人様も、あなたも……	嗯，啊，啊……嗯，嗯……是个坏兴趣……主人、你……
んく、あ、ふぅあ……っ！　ん、ぁあくっ……ちゃんと、私が、いいっていうまで……うごかさないでぇ……くださいっ……！	嗯，啊，嗯……嘿！嗯，啊啊……直到我说好为止……别动啊……我要……！
く、ふっ……ぁ、ぁぅっ、んんっ……全く、こんな事……はぁ、はぁ、、破廉恥、ですっ……ありえないですっ……やぁあんっ……	哼、哼……啊，啊，嗯……真是的，这样的事……哈，哈，真是寡廉鲜耻啊……不可能……哎呀呀……
んゃ、は、ぁっ……！　は、ぁあふ……ここでやめたら……ううんっ……ぁああっ……やめるなんて、できませんっ……んっ……！	嗯，哈，啊……！啊，啊啊……如果在这里放弃的话……嗯……啊啊啊……不能放弃……嗯……！
ふぅ、ぁ、んんっ！　私……下品に腰振って……ああ、こんなっ……ありえない、ですっ……私、なにをかんがえてっ……んんっ……	呼、啊、嗯！我……举止下流……啊，这样啊……那是不可能的……我在想什么……嗯……
んっあ、ぁっはぁ……！　恥ずかしそうな顔……してますねっ……ああ、んっ……私も、んっ……そんなかお、してるのでしょうか……	嗯，啊啊啊……！害羞的表情……做着呢……啊，嗯……我也是，嗯……那样的表情，是在做吗……
んんぉ、ふあぁっ！　こんなに、濡れて……んく、っふ、あぁっ、ひょっとして、私、女の子相手にっ……！	嗯，嗯！这么湿……嗯，呵呵，啊，说不定，我要和女孩子做对手……！
んくっひ、あ、っふぁあ！　あそこから、あっひ、ぁあ……くちゅくちゅってぇ、女の子が相手なのにっ……ああ、あううっ！	嗯，啊，呜啊！从那里，啊，啊……明明是女孩子的对手……啊，啊！
ぅく、んんぁ！　愛液垂らして、吸い付かせて……はぁ、はぁ、くぅっ、私、変態過ぎて……んぁ、だめ、ほんとうに、ああ、くぅっ！	嗯，嗯！爱液滴下来，让它吸着……哈，哈，呃，我太变态了……嗯，不行，真的，啊，呜！
ひぐっふ、ぁあっ！　ほら、ぁあっ、女の子相手に、イッて、イかされちゃうなんて、だめ、だめです、あああ、こんなの、ひゃうう！	呼，啊！看，啊，啊，以女孩子为对象，不可以，不行，啊，这样啊，哎呀！
んっふ、ぁあっ……あなた、ひょっとして乗り気なんですか……？　んっ……しょ、しょうがないですね……わ、私もっ……！	嗯，啊……你难道有兴趣吗……？嗯……没办法啊……我、我也……！
んく、ふ、あっ……！　いっそ、んぁ、は、ぁぁふっ……男性にされるよりも、夢中にさせてあげますねっ……？	嗯，嗯，嗯，啊……！干脆，嗯，哈哈，啊啊啊……比起被男性对待，更能让他着迷吧……？
ん、ぁあっ……そんなに押し付けてきて……ふふ、私に擦られるのが好きなんですか……？　はあ、んっ……くぅうううんっ！	嗯，啊……那样强加于人……呵呵，你喜欢被我摩擦吗……？啊，嗯……呜呜哇！
んく、あ、っ、ふふ、わかってますか？　んっひ、ぁ、あぁふ……！　同性相手に……あなたは夢中になっているんですよ……？	嗯，啊，嗯，呵呵，你知道吗？嗯，啊，啊呼……！以同性为对象……你在做梦呢……？
