ブロマイド	溴化物
夜伽クラス_cos021	夜伽班cos021
ユニーク名	独特名称
【GP-02】プロポーズ＿ボクっ娘	【GP-02】求婚_新娘
レイドポーズ	花环造型
ナノポーズ	纳米造型
【GP-02】プロポーズ＿メイド秘書	【GP-02】求婚_女仆秘书
めいどねい	名敬语
メイドの日ポーズ	女仆的日姿
GP-02追加第4弾	GP-02追加第4弹
逃れられない証拠	无以摆脱的铁证
年下の男の子	生涩男孩
【GP-02】プロポーズ＿小悪魔	【GP-02】求婚_小恶魔
表示名	显示名称
お父さんカツドウ？	爸爸的炸猪排？
蛇の目がない日は雨宿り	没有蛇眼的日子躲雨
お灸をすえる……？	练习艾灸……？
熱しやすく熱しやすい	容易加热
手遅れの愛	迟来的爱
恍惚の盗人	神志不清的盗贼
愛のゆくえ	爱的去向
みんなのいもうと	大家的妹妹
メインストーリー	主要故事
全年齢追加範囲	全年龄追加范围
無垢＿お近づきイベント１	单纯_接近事件1
無垢＿お近づきイベント２	单纯_接近事件2
無垢＿お近づきイベント３	单纯_接近事件3
無垢＿関係進展	单纯_关系进展
【お近づき→信頼】	【亲近→信赖】
無垢＿信頼イベント１	单纯_信任事件1
無垢＿信頼イベント２	单纯_信任事件2
無垢＿信頼イベント３	单纯_信任事件3
無垢＿信頼イベント４	单纯_信任事件4
【信頼→恋人】	【信赖→恋人】
無垢＿恋人イベント１	单纯_恋人事件1
無垢＿恋人イベント２	单纯_恋人事件2
無垢＿恋人イベント３	单纯_恋人事件3
無垢＿恋人イベント４	单纯_恋人事件4
無垢＿恋人イベント５	单纯_恋人事件5
真面目＿お近づきイベント１	认真_靠近事件1
真面目＿お近づきイベント２	认真_靠近事件2
真面目＿お近づきイベント３	认真_接近事件3
真面目＿関係進展	认真_关系进展
真面目＿信頼イベント１	认真_信赖事件1
真面目＿信頼イベント２	认真_信赖事件2
真面目＿信頼イベント３	认真_信赖事件3
真面目＿信頼イベント４	认真_信赖事件4
真面目＿恋人イベント１	认真_恋人事件1
真面目＿恋人イベント２	认真_恋人事件2
真面目＿恋人イベント３	认真_恋人事件3
真面目＿恋人イベント４	认真_恋人事件4
真面目＿恋人イベント５	认真_恋人事件5
凜デレ＿お近づきイベント１	可靠_接近事件1
凜デレ＿お近づきイベント２	可靠_接近事件2
凜デレ＿お近づきイベント３	可靠_接近事件3
凜デレ＿関係進展	可靠_关系进展
凜デレ＿信頼イベント１	可靠_信赖事件1
凜デレ＿信頼イベント２	可靠_信赖事件2
凜デレ＿信頼イベント３	可靠_信赖事件3
凜デレ＿信頼イベント４	可靠_信赖事件4
凜デレ＿恋人イベント１	可靠_恋人事件1
