んっ！？　くっ、はぁ……苦し……ぃぞ、ご主人、様……っぁ、も、少し……緩め、て……んっ、っはぁっ、はぁ……	嗯！？呜、哈……痛苦……喂，主人，大人……嗯，但是，有一点……松、松……嗯，哈，哈……
くっ、う、はぁ……なんで、こんな……んんっ、んぁ……っくぅっ、苦しい、だけ、なのに……っく、うぁ……あぁっ！	呜、呜、哈……为什么会这样……嗯，嗯……嗯，只是痛苦而已，但是……嗯，呜……啊啊！
んっ、んぁ……けほっ、ご主人様、は……こんなのが気持ちいい、のか？　ふっ、ぁ……理解、できない……うっぁ、くぅぅ……っ！？	嗯，嗯……喂，主人，哈哈……这样舒服吗？呼、啊……无法理解……嗯，嗯……诶！？
うぐっ、くっうぅっ！　けふっ、けほっ！　ふっ、ぁ……苦し……ぃっ、ふぁ、息が……うぁ、息……くっぁ、んあぁっ！	呜，呜！喂，喂！呼、啊……痛苦……呼、呼、呼吸……嗯，呼吸……哇，嗯啊！
ひぐっ、うぅ……ご主人様……なんで、こんな……苦し……ぃ、ぞ、くっ、うぁ……息、が……はぁっ、うぁ……ぁぁ……	唔、唔……主人……为什么会这样……痛苦……我、我、呜、呜……呼吸、……哈、呜……啊啊……
んっ、くぅっ！　普通に、してくれれ、ば、いい、のに……けふっ、うぁ……んんっ、ご主人様、は……私が、嫌い、なのか……？	嗯，嗯！普通地做就行了，但是……嗯，嗯……嗯，主人，是……你讨厌我吗……？
うっ、ぐ、げふっ、うぁ……ご主人様、う、ぁ……もう、だめ……苦しく、て……息、させ、て……っく、うぅっ！　くぁ、んんっ！	唔、唔、唔、唔……主人，啊，啊……已经不行了……好痛苦……让我呼吸，让我……嗯，嗯！嗯，嗯！
っだ、め……頭、が……んくっ、空気、が……ひぐっ、うぁ……苦し……のに……ぼーっとして……ご主人、様……おかし、く……っぁ……	但是，你……头、……嗯，空气……呼、呜……痛苦……明明……发呆……主人，先生……奇怪、奇怪……啊……
んぅ、っくぅ……っぷぁ、んん……メイド、がっ、苦しむ、んんっ、姿、見て……興奮する、なんて……ご主人様は、変、だぞ……くぅっ！	嗯，嗯……噗、嗯……女仆，嗯，好痛苦啊，看样子……兴奋什么的……主人好奇怪啊……嗯！
うっ、く……ふっぁ、これ、されると……っん、すぐ、頭が、真っ白に……ぅあ……なって、っくぅ……おか、しく……ぅあぁっ！	呃，呃……嗯，这个，这样的话……嗯，马上，头脑一片空白……啊……嗯，嗯……啊，是吗……啊啊啊啊！
ひっ、うぅ……苦し……んっ、も、ダメ……だ、頭、おかしく……ひぐっ、……ひっ、うぐ……ぅ、ぁ、あぁぁっ！	呜、呜……痛苦……嗯，但是，不行……啊，头好奇怪……嗯，……唔，唔……啊、啊啊啊！
