こ、こんな感じでいいですか……？　れろぉ、ちゅぷぅ……お口と胸、んちゅぅ……	这个、这样的感觉可以吗……？呃，中呜……口和胸，嗯……
ずちゅ、じゅぷぅっ……ご主人様のおっきいです……んむぅ……お口、大変です……ちゅ、ちゅぱ……	我、我……我是主人的大丈夫……嗯……您的嘴真不好……ちゅ、ちゅぱ……
む、胸、んちゅぅ……ご主人様ので……熱くなっちゃいますっ……れろぉ、ちゅ……ずちゅぅ……	嗯，胸，嗯……因为是主人……变热了……可恶，ちゅ……嗯……
あ、あんまり、その……見られるの、恥ずかしいですっ……んちゅ、ちゅぅ……	啊，太，那个……被看到了，好害羞啊……ちゅ、ちゅ……
んちゅぅ、ちゅ……ご主人様の、こんなにおっきく熱くなってぇ……お口と胸、そんなに好きなんですか……？	嗯，chu……主人，变得这么热情……那么喜欢你的口和胸吗……？
はぅ、じゅぶぅ……ぢゅるる！　激しく……すると……な、なんだか頭くらくらしてきます……！	呜，呜……要开始了！激烈地……于是……总觉得头晕……！
んじゅぅ、どうですか、れろぉ、んちゅぷぅ！　あたしのご奉仕、上手にできてますか……？　ずちゅっ、んんっ……！	嗯，怎么样，嗯，嗯，中！我的服务做得好吗……？小鸡鸡，嗯……！
胸もお口も、んちゅぅ、じゅぶぶ！　ご主人様ので、すごく熱くなってますぅ……はぅ、ちゅぱっ！	胸部和嘴巴，嗯，我要！因为是主人，所以变得很热……哈、小鸟！
ご、ご主人様ぁ、じゅるるぅ、苦いのが……お口に広がって……んちゅぷぅ！　はぅ、じゅぶ、ずちゅ！	主人啊，好痛苦啊……扩散到你的口中……嗯哼！是、是、是、是中！
んむぅ、い、いつでも、ずちゅぅ！　好きな時にっ、出してくれていいですよ、ご主人様っ！　胸とお口でぇ、んちゅ！	嗯，嗯，嗯，无论什么时候，都是这样的！喜欢的时候，可以拿出来哦，主人！用胸和口，嗯！
あたしのご奉仕でぇ、んちゅ、イって下さい、れろぉ、ぢゅるるぅ！　ご主人様ぁ、じゅぶ、ずりゅううう！	我的服务啊，嗯，请慢一点，好烫！主人啊，嘘，嘘！
