えっと……うぅ～～っ……はぅっ……こ、このっ……変態……へんたい……はうっ……こんな……感じですか……？	嗯……呜~呜……嗯……这、这个……变态……变态……哈哈……这样的……感觉吗……？
この、す、すけべご主人様……！　はぁ、はう……そ、そのっ……あたし、なんて詰ったらいいか……	这个，小助，主人……！哈、哈……那、那个……我该怎么装才好呢……
ええっと……あたしにこうして、詰られながら、て、手コキされる気分はどうですか……？　はぁ、はうっ……ふるえちゃってるぅ……	嗯……像这样被我逼着，被我手忙脚乱的心情怎么样……？哈、哈……发抖了……
んっ……こ、こんな変態が恋人だなんて……全く、んっ……き、汚いですよ、先っぽ、ぬらぬらさせちゃってっ……！	嗯……这、这样的变态竟然是恋人……真是的，嗯……来，好脏啊，尖，让他滑下来了……！
あ、あたしの口から、ご主人様の罵倒を聞きたいだなんて……お、おねだりするなんて……変態な甘えん坊さんですね……？	啊，竟然想从我嘴里听到主人的骂……哦，居然要饭……是变态的撒娇的孩子……？
はぁ、こ、これで満足ですよねっ？　はぁ手でしてあげるだけでも、そ、そのっ、感謝、してください、ご主人様っ……！	哈，这个，这样就满足了吧？哪怕只是用手给你，那，那个，请感谢，主人……！
えっと、こ、この早漏っ……！　みっともない短小こんなに硬くしてっ……って、こ、こんな感じですか……？	呃，这个，这个早漏……！难看的短小这么硬……这、这、是这种感觉吗……？
うぅ～～っ！　あ、あたしに罵られて、何をビクビクさせてるんですか……！　こ、この豚っ……！！　ま、まぞぶたっ……！	呜～～！啊，被我骂了，还让我害怕什么呢……！这、这头猪……！嘛，开始了……！
何気持ち悪い顔してるんですか、この家畜さんはっ……！　メイドに躾けられて勃起してるだなんて、躾けのなってない家畜さんですね、まったく……！	这只家畜长着什么恶心的表情啊……！被女仆教育勃起之类的，完全是没有教养的家畜啊……！
勝手に射精するのは許しませんよ、えへへ♪　あたしの許可なく汚い精液を出したら……分かってますよね、この早漏さんっ♪	不允许随便射精哦，嘿嘿♪如果没有我的许可就出脏污的精液的话……知道了吧，这个早漏先生♪
えへへ、あたしに苛められるの大好きなんですよねっ？　いいですよ、ちっちゃなモノ一生懸命勃起させてぇ……惨めで可愛いです♪	嘿嘿，你最喜欢被我欺负了吧？好啊，小东西要努力让它勃起……又悲惨又可爱♪
早漏のマゾ豚さん、先っぽから先走り垂れちゃってますよぉ？　えへへ、女の子に詰られてイっちゃうんですね、短小ご主人様……！	早泄的猪先生，从前面开始就一直往下跑了吧？诶，被女孩子逼着走了呢，小主人……！
こ、この短小……あたしの手の中で、ヒクヒクさせて……恥ずかしくないの……？　全くっ……んんっ……！	这、这个小……在我的手中，让我刺痛……不害羞吗……？全部……嗯……！
んしょ、どう……これくらい激しくしたら、んん……！　すぐイっちゃうでしょ、早漏ご主人様は……ほら、ほら……っ！	嗯，怎么样……这样激烈的话，嗯……！马上就来了吧，早泄先生……你看……嘿！
みっともなくヒクヒクさせて、このマゾ豚……！　躾けられて、先走りこんなに……もしかして射精しそうなの、この変態……早漏……っ！	让你这么不体面，这头恶猪……！被教育了，就这么抢先……难道是要射精了，这个变态……早泄……嘿！
おちんちん震えてる、このマゾ豚……！　まだ躾けの途中ってわかってるの、まったく……ほらほら……！	这只小猪在颤抖……！我还知道是在训练中，真是的……你看……！
短小おちんちん、先走り垂れてる……！　この早漏、少しくらいは我慢して……！　勝手にせーえき出したらお仕置きするから、この家畜……！	小矮人，抢先下手……！这个早漏，稍微忍耐一下……！如果随便乱跑出来的话我就惩罚你，这只家畜……！
