あ、ぐうぅっ！　ご、ご主人様、そこだめ……ダメですっ……！　い、痛すぎて……は、あっ……強いのダメですっ……！　は、ぁぁ……	啊，嗯！哦，主人，那边不行……不行啊……！不，太疼了……啊、啊……不能坚强……！哈，啊……
ひゃ、あっ……ひぅっ……！　ご主人様、もう少し緩めてくださいっ……い、痛すぎて無理ですこんなっ……ううぅ……	哎呀，哎呀……唔……！主人，请再放松一点……不，太疼了不行这样的……呜呜……
ひ、うぅ……んっ……は、あっ……そこ、敏感なんですから、強くするのやめてくださっ……くぅ、はっ……んんぅ……お願いです……	嗯，嗯……嗯……啊、啊……因为那里很敏感，所以请不要变强……嗯，啊……嗯……拜托了……
はぁ、あっ……ひゃ、うぐぅ！　強いのダメってっ……は、ぁっ！　んくうぅ……や、優しくしてくださいっ……じゃ、じゃないと……んんぅ……！	啊，啊……啊，呜！坚强的不行……是、啊！嗯……呀，请温柔一点……那么，再见……嗯……！
ん、あぐぅっ……ひ、ひゃっ……！　ご、ごめんなさいご主人様ぁっ……もうゆ、許してくださいぃ……うぅ……痛くて……痛すぎて……くぅ……	嗯，啊……嗨、喵……！对，对不起，主人……请原谅我吧……嗯……太疼了……太疼了……嗯……
ん、ひぐっ……うぅ、ご主人様、痛いですそこ……は、あっ……優しくしてくれませんか……？　うぅ、んぅっ……ひ、あぐっ……	嗯，嗯，嗯……嗯，主人，好痛啊……啊、啊……能温柔一点吗……？嗯，嗯……一、啊……
は、ぁっ……んぐぅっ……！　そ、そんなに強くしなくてもいいじゃないですかぁっ……は、あっ……な、なんでこんな意地悪するんですかっ……？	啊、啊……哼哼……！那，不需要那么强大不是吗……啊、啊……呐，为什么这么使坏呢……？
はぅ、っ……んぅ……ひゃ、あっ！　い、いたっ……痛い、痛いですご主人様っ……！　んぅぅ！　もう、や、嫌ぁぁっ……！	哈……嗯……哎呀，哎呀！不，那是……好痛，好痛主人……！嗯！真是的，讨厌啊……！
はぁ、あっ……んぐぅ……そんなに強くしないでくださいね……？　んんぅ！　い、痛いですそれっ……大事な場所なんですから……	啊，啊……嗯……请不要那么坚强……？恩恩恩！嗯，很痛那个……因为是很重要的地方……
くぅぅっ……は、あっ……ひぐっ！？　あ、あっ……な、なんでこんなことするんですか……？　私、悪いこと、しちゃいましたか……？　ん、あぐぅ……	呜呜……啊、啊……嘿嘿！？啊，啊……呐，为什么要这样做呢……？我做了坏事吗……？嗯，啊……
はぁ、あっ……んくぅ……！　もう、もう許してください、ご主人様ぁっ……！　ん、ひゃ、んんぅ！　痛いのダメ、ですからっ……んんぐぅぅ！	啊，啊……嗯……！请原谅我，我的主人……！嗯，啊，嗯！不能痛，所以……嗯，嗯！
はぁ、あっ……ご主人様、それ痛くて……んぅぅ……あんまり痛く、しないでほしいです……くぅっ……！　な、なんでこんなこと、するんですか……？	啊，啊……主人，那个很痛……嗯……希望不要太痛了……唔……！为什么要做这样的事情呢……？
ひ、ひゃぅっ！　もう、やめてほしいです……くぅ、んっ！　は、あうっ……い、痛いの嫌ですもうっ……ご主人様、お願いします……やめ、やめてっ……！	嗯，是的！已经，希望你停止……唔，嗯！哈，啊……不，我讨厌痛……主人，拜托了……住手，住手……！
